Gaze 3D position left X, Gaze 3D position left Y, Gaze 3D position left Z, Gaze 3D position right X,Gaze 3D position right Y,Gaze 3D position right Z,Pupil diameter left,Pupil diameter right, HR, GSR, ConationLevel
0,0,0,0,0,0,3.68,3.51,71.43,0.922153535,0
0,0,0,0,0,0,3.7,3.56,71.43,0.922153535,0
0,0,0,0,0,0,3.78,3.35,71.43,0.722418692,0
0,0,0,0,0,0,3.58,3.11,71.43,0.739796207,0
0,0,0,0,0,0,3.53,3.1,71.43,0.739796207,0
0,0,0,0,0,0,3.5,3.1,71.43,0.739796207,0
0,0,0,0,0,0,3.5,3.1,71.43,0.763419556,0
0,0,0,0,0,0,3.5,3.1,71.43,0.763419556,0
0,0,0,0,0,0,3.49,3.1,71.43,0.763419556,0
0,0,0,0,0,0,3.5,3.1,71.43,0.763419556,0
0,0,0,0,0,0,3.49,3.1,71.43,0.763419556,0
0,0,0,0,0,0,3.5,3.11,71.43,0.763419556,0
0,0,0,0,0,0,3.5,3.11,71.43,0.777817003,0
0,0,0,0,0,0,3.5,3.23,71.43,0.777817003,0
0,0,0,0,0,0,3.5,3.16,71.43,0.777817003,0
0,0,0,0,0,0,3.5,3.14,71.43,0.777817003,0
0,0,0,0,0,0,3.5,3.13,71.43,0.777817003,0
0,0,0,0,0,0,3.49,3.12,71.43,0.777817003,0
0,0,0,0,0,0,3.49,3.19,71.43,0.787449112,0
0,0,0,0,0,0,3.49,3.16,71.43,0.787449112,0
0,0,0,0,0,0,3.5,3.16,71.43,0.787449112,0
0,0,0,0,0,0,3.5,3.16,71.43,0.787449112,0
0,0,0,0,0,0,3.5,3.16,71.43,0.787449112,0
0,0,0,0,0,0,3.5,3.16,71.43,0.787449112,0
0,0,0,0,0,0,3.51,3.17,71.43,0.800182403,0
0,0,0,0,0,0,3.51,3.17,71.43,0.800182403,0
0,0,0,0,0,0,3.51,3.18,71.43,0.800182403,0
0,0,0,0,0,0,3.51,3.18,71.43,0.800182403,0
0,0,0,0,0,0,3.52,3.18,71.43,0.800182403,0
0,0,0,0,0,0,3.52,3.19,71.43,0.800182403,0
0,0,0,0,0,0,3.52,3.19,71.43,0.800182403,0
0,0,0,0,0,0,3.52,3.25,71.43,0.821648631,0
0,0,0,0,0,0,3.5,3.6,71.43,0.821648631,0
0,0,0,0,0,0,3.5,3.16,71.43,0.821648631,0
