GDLX,GDLY,GDLZ,GDRX,GDRY,GDRZ,PL,PR,HR,GSR,ConationLevel,PredictedConation,GameState,TimeSinceStart
3.44211016671641E-06,5.60257833196777E-07,8.00921059218102E-07,4.28265373825385E-06,2.30073612794906E-07,4.00325271481639E-07,4.15,4.05,0.96302710843306,-0.42720316337935,5,0,0,0.0320000015199184
3.44211016671641E-06,5.60257833196777E-07,8.00921059218102E-07,4.28265373825385E-06,2.30073612794906E-07,4.00325271481639E-07,4.15,4.05,0.96302710843306,-0.42720316337935,5,0,0,0.0480000004172325
3.44211016671641E-06,5.60257833196777E-07,8.00921059218102E-07,4.28265373825385E-06,2.30073612794906E-07,4.00325271481639E-07,4.15,4.05,0.96302710843306,-0.42720316337935,5,0,0,0.0640000030398369
3.44211016671641E-06,5.60257833196777E-07,8.00921059218102E-07,4.28265373825385E-06,2.30073612794906E-07,4.00325271481639E-07,4.15,4.05,0.96302710843306,-0.42720316337935,5,0,0,0.0800000056624413
3.44211016671641E-06,5.60257833196777E-07,8.00921059218102E-07,4.28265373825385E-06,2.30073612794906E-07,4.00325271481639E-07,4.15,4.05,0.96302710843306,-0.42720316337935,5,0,0,0.0960000082850456
3.44211016671641E-06,5.60257833196777E-07,8.00921059218102E-07,3.95231840983965E-06,1.00173574649276E-07,3.00235190408673E-07,4.15,4.06,0.96302710843306,-0.42720316337935,5,0,0,0.11200001090765
2.92168381111358E-06,9.98724993496832E-08,8.00921059218102E-07,3.2417264090331E-06,8.90806608091727E-07,2.00140100072854E-07,4.17,4.07,0.96302710843306,-0.468458378558179,5,0,0,0.128000006079674
2.92168381111358E-06,9.98724993496832E-08,8.00921059218102E-07,3.2417264090331E-06,8.90806608091727E-07,2.00140100072854E-07,4.17,4.07,0.96302710843306,-0.468458378558179,5,0,0,0.144000008702278
2.92168381111358E-06,9.98724993496832E-08,8.00921059218102E-07,3.2417264090331E-06,8.90806608091727E-07,2.00140100072854E-07,4.17,4.07,0.96302710843306,-0.468458378558179,5,0,0,0.160000011324883
3.79754217067231E-07,2.77725844260531E-07,1.48294585967977E-08,8.96835890952018E-07,1.5745597430542E-07,1.24558433743656E-07,4.43,4.28,0.96302710843306,-0.419170886958003,5,0,0,0.176000013947487
3.79754217067231E-07,2.77725844260531E-07,1.48294585967977E-08,8.96835890952018E-07,1.5745597430542E-07,1.24558433743656E-07,4.43,4.28,0.96302710843306,-0.419170886958003,5,0,0,0.192000016570091
3.79754217067231E-07,2.77725844260531E-07,1.48294585967977E-08,8.96835890952018E-07,1.5745597430542E-07,1.24558433743656E-07,4.43,4.28,0.96302710843306,-0.419170886958003,5,0,0,0.208000019192696
