GDLX, GDLY,GDLZ, GDRX, GDRY, GDRZ, PL, PR, HR, GSR, ConationLevel, PredictedConation

2.30093935251388E-08,2.42158165369779E-07,5.00575662011313E-08,2.90180961224281E-08,9.05622468494087E-08,5.00575662011313E-08,5.06,4.92,7.22,-0.00121200100674762,4,0
2.25090182537033E-08,2.05627514697068E-07,5.00575662011313E-08,2.45142177782905E-08,8.15550411524727E-08,5.00575662011313E-08,5.06,4.92,7.22,-0.00121200100674762,4,0
2.35100442584103E-08,1.31062465546203E-07,5.00575662011313E-08,1.95112641131463E-08,6.95380298697006E-08,5.00575662011313E-08,5.07,4.92,7.22,-0.00121200100674762,4,0
2.35100442584103E-08,1.31062465546203E-07,5.00575662011313E-08,1.95112641131463E-08,6.95380298697006E-08,5.00575662011313E-08,5.07,4.92,7.22,-0.00121200100674762,4,0
2.80119194262184E-08,7.40125953427827E-08,5.00575662011313E-08,1.05036073219063E-08,2.10009753037746E-08,5.00575662011313E-08,5.08,4.9,7.22,-0.00121200100674762,4,0
2.80119194262184E-08,7.40125953427827E-08,5.00575662011313E-08,1.05036073219063E-08,2.10009753037746E-08,5.00575662011313E-08,5.08,4.9,7.22,-0.00121200100674762,4,0
4.40382344444686E-08,1.00127027637524E-08,1.00210332217891E-11,1.75167389747166E-08,1.60166322266562E-08,1.00210332217891E-11,5.11,4.89,7.22,-0.00299126756430905,4,0
4.58075123517553E-07,5.81319494568621E-07,4.00650956330918E-08,1.0417988347682E-07,2.60386131134122E-07,5.00776112776475E-08,5.07,5.02,7.22,-0.00299126756430905,4,0
4.58075123517553E-07,5.81319494568621E-07,4.00650956330918E-08,1.0417988347682E-07,2.60386131134122E-07,5.00776112776475E-08,5.07,5.02,7.22,-0.00299126756430905,4,0
8.93669117031522E-07,1.20070180209719E-06,4.98494855148178E-08,5.61249571177409E-07,1.00916698151845E-06,3.49542749379728E-07,5.03,5.2,7.22,-0.00299126756430905,4,0
8.93669117031522E-07,1.20070180209719E-06,4.98494855148178E-08,5.61249571177409E-07,1.00916698151845E-06,3.49542749379728E-07,5.03,5.2,7.22,-0.00299126756430905,4,0
1.96062154131318E-06,2.58494101528336E-06,7.50477582478856E-07,1.44999781717719E-06,2.15460523084392E-06,9.92248943792977E-08,4.98,5.06,7.22,-0.00299126756430905,4,0
1.96062154131318E-06,2.58494101528336E-06,7.50477582478856E-07,1.44999781717719E-06,2.15460523084392E-06,9.92248943792977E-08,4.98,5.06,7.22,-0.00299126756430905,4,0
1.96062154131318E-06,2.58494101528336E-06,7.50477582478856E-07,1.62567188917326E-06,2.59304058309127E-06,2.49370036770802E-07,4.98,4.95,7.22,-0.00299126756430905,4,0
2.07821571674361E-06,2.79711130200819E-06,9.00597678555717E-07,1.62567188917326E-06,2.59304058309127E-06,2.49370036770802E-07,4.92,4.95,7.22,0.036331330758074,4,0
2.07821571674361E-06,2.79711130200819E-06,9.00597678555717E-07,1.62567188917326E-06,2.59304058309127E-06,2.49370036770802E-07,4.92,4.95,7.22,0.036331330758074,4,0
